Expensive, Affordable
Travelers Rest,Laurens
Clemson,Fountain Inn
Myrtle Beach,Irmo
Hardeeville,Lake City
Port Royal,North Augusta
James Island,Dillon
Charleston,Chester
Lancaster,Bennettsville
Greenville,Simpsonville
North Charleston,Batesburg-Leesville
